GP LOGISTICS,A HARTRODT AUSTRALIA PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,BNEA248559,USORD,AUBNE,AUBNE,C00196564 S00296274,,128,KG,40,CF,,,,,1,SKD,CPT,,CONSOL ALLIANCE AUSTRALIA PTY LTD
GP LOGISTICS,A HARTRODT AUSTRALIA PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,BNEA248248,USORD,AUBNE,AUBNE,C00195678 S00294960,,112,KG,51.517,CF,PAG52356BR,5,,,4,PKG,FOB,,CONSOL ALLIANCE AUSTRALIA PTY LTD
CHARTER LINK LOGISTICS LTD,A&A JUMPING CASTLES,CONSOL ALLIANCE AUSTRALIA PTY LTD,GMEL1611109005,HKHKG,AUMEL,AUMEL,MICHAEL,"STC. INFLATABLE              
BLOWER",140,KG,1.05,M3,PCIU6006520,T0988973,CFS/CFS,45R1,2,PKG,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
CHARTER LINK LOGISTICS LTD,A&A JUMPING CASTLES,CONSOL ALLIANCE AUSTRALIA PTY LTD,GMEL1611109005,HKHKG,AUMEL,AUMEL,MICHAEL,"STC. INFLATABLE              
BLOWER",140,KG,1.05,M3,TEMU9089925,T0988971,CFS/CFS,45R1,2,PKG,CFR,,CONSOL ALLIANCE AUSTRALIA PTY LTD
,A&W HOLLIER WHOLESALE DISTRIBUTORS PTY LTD,NAVIA LOGISTICS PTY LTD,,CNSHA,AUSYD,AUSYD,N/M,,5220,KG,16.94,M3,OOLU3940942,EDT1587,CY/CY,22R0,1180,CAS,CFR,,NAVIA LOGISTICS PTY LTD
,A&W HOLLIER WHOLESALE DISTRIBUTORS PTY LTD,NAVIA LOGISTICS PTY LTD,,USPHL,AUSYD,AUSYD,,,10973.87,KG,21.98,M3,SUDU1101479,31812,CY/CY,22G0,1052,CAS,CFR,,NAVIA LOGISTICS PTY LTD
,A&W HOLLIER WHOLESALE DISTRIBUTORS PTY LTD,NAVIA LOGISTICS PTY LTD,,USPHL,AUSYD,AUSYD,,,7864.88,KG,23.63,M3,SUDU1170504,31910,CY/CY,22R0,1570,CAS,CFR,,NAVIA LOGISTICS PTY LTD
,A&W HOLLIER WHOLESALE DISTRIBUTORS PTY LTD,NAVIA LOGISTICS PTY LTD,,USPHL,AUSYD,AUSYD,,,6668.69,KG,23.61,M3,SUDU1174285,31794,CY/CY,22R0,2860,CAS,CFR,,NAVIA LOGISTICS PTY LTD
,A&W HOLLIER WHOLESALE DISTRIBUTORS PTY LTD,NAVIA LOGISTICS PTY LTD,,USPHL,AUSYD,AUSYD,,,9688.94,KG,19.57,M3,SUDU1174984,31906,CY/CY,22R0,1050,CAS,CFR,,NAVIA LOGISTICS PTY LTD
,A&W HOLLIER WHOLESALE DISTRIBUTORS PTY LTD,NAVIA LOGISTICS PTY LTD,,USPHL,AUSYD,AUSYD,,,14222,KG,43.33,M3,CXRU1283214,31795,CY/CY,42G1,2550,CAS,CFR,,NAVIA LOGISTICS PTY LTD
,A&W HOLLIER WHOLESALE DISTRIBUTORS PTY LTD,NAVIA LOGISTICS PTY LTD,,USPHL,AUSYD,AUSYD,,,15986.72,KG,42.81,M3,CGMU5116640,31644,CY/CY,45R1,2490,CAS,CFR,,NAVIA LOGISTICS PTY LTD
,A&W HOLLIER WHOLESALE DISTRIBUTORS PTY LTD,NAVIA LOGISTICS PTY LTD,,USPHL,AUSYD,AUSYD,,,16632.99,KG,31.21,M3,CGMU5136409,31646,CY/CY,45R1,1632,CAS,CFR,,NAVIA LOGISTICS PTY LTD
,A&W HOLLIER WHOLESALE DISTRIBUTORS PTY LTD,NAVIA LOGISTICS PTY LTD,,USPHL,AUSYD,AUSYD,,,13186.67,KG,42.94,M3,CGMU9304516,31912,CY/CY,45R1,3455,CAS,CFR,,NAVIA LOGISTICS PTY LTD
GP LOGISTICS,A. HARTRODT AUSTRALIA PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,MELA248198,USORD,AUMEL,AUMEL,C00195548 S00294781,Sterilizers & Parts / Medical Exam Tables,72,KG,13.368,CF,PMC915715X,5,,,2,UNT,FOB,ULD TRANSPORT WAREHOUSING PTY. LTD.,CONSOL ALLIANCE AUSTRALIA PTY LTD
GP LOGISTICS,A. HARTRODT AUSTRALIA PTY LTD,CONSOL ALLIANCE AUSTRALIA PTY LTD,MELA248198,USORD,AUMEL,AUMEL,C00195548 S00294781,Sterilizers & Parts / Medical Exam Tables,72,KG,13.368,CF,PMC917945X,5,,,2,UNT,FOB,ULD TRANSPORT WAREHOUSING PTY. LTD.,CONSOL ALLIANCE AUSTRALIA PTY LTD
NAVIA LOGISTICS PTY LTD,A. PERRY & CO,PENANSHIN SHIPPING PTE LTD,NAVBNE350194,AUSYD,SGSIN,GBSOU,"
REF: TIE16120151","STC 121 BOXES GATE LATHCES AND HINGES

HS CODE: 8302.10.00

�ALL CHARGES ARE FOR THE ACCOUNT OF THE CONSIGNEE�",622,KG,3.907,M3,HLXU3227113,F0336798,CFS/CFS,22G0,2,PLT,EXW,CARGO MOVERS INTERNATIONAL,PENANSHIN SHIPPING PTE LTD
